book_id;followed_book_id
Q3082586;Q2818471
Q1807387;Q3980601
Q767362;Q1199731
Q3428311;Q3428115
Q8024497;Q8024494
Q6928980;Q43400780
Q2477829;Q2678229
Q1401617;Q1409006
Q9144808;Q897685
Q21295029;Q21295031
Q10288350;Q12900709
Q2156104;Q840974
Q3249846;Q2097151
Q3042047;Q6784980
Q3278822;Q3278839
Q4354232;Q2051372
Q1539874;Q1640710
Q3055185;Q3411636
Q373601;Q900595
Q1193680;Q1214221
Q21295036;Q21295038
Q5910399;Q3234035
Q5275000;Q7758611
Q2522989;Q506898
Q20800648;Q28044022
Q18516256;Q18517323
Q10683878;Q10683879
Q14469619;Q2474921
Q21295031;Q21295033
Q628443;Q1213684
Q7456957;Q7456956
Q1137369;Q1164291
Q2384854;Q663215
Q3605624;Q4685224
Q2692502;Q2750810
Q3030638;Q3020486
Q7282843;Q3819798
Q2929776;Q5580719
Q973883;Q17088998
Q2410636;Q3235771
Q370861;Q3647735
Q2221997;Q1947513
Q3235281;Q5327216
Q2593675;Q21294929
Q21295033;Q21295036
Q2863680;Q3179502
Q1197590;Q2409540
Q7521538;Q7773418
Q1443553;Q1443567
Q1215553;Q221765
Q1443567;Q1607821
Q1589173;Q3716084
Q21295068;Q21295070
Q1197958;Q232055
Q331669;Q289130
Q16652629;Q16655251
Q2556743;Q2525882
Q3819852;Q7750830
Q4927654;Q15035777
Q4743677;Q4743676
Q21295027;Q21295029
Q3874251;Q3818319
Q2864487;Q3082586
Q22232319;Q16385377
Q2400100;Q3500016
Q8058243;Q7776778
Q21295023;Q21295024
Q1755607;Q741570
Q3203627;Q2221997
Q21294944;Q21294948
Q1212137;Q667903
Q319149;Q219457
Q1098300;Q1193400
Q3793464;Q16386810
Q2672731;Q2465064
Q10671758;Q10683878
Q4658186;Q7767439
Q3278839;Q4566539
Q7756640;Q7111646
Q3796036;Q3793608
Q21295050;Q21295053
Q221765;Q127284
Q3782938;Q18636852
Q485093;Q157360
Q1155523;Q1154198
Q16957945;Q7099231
Q21295070;Q21009156
Q16654279;Q16652629
Q2692115;Q3211487
Q11899390;Q23694623
Q3232591;Q952340
Q3687757;Q3795284
Q80817;Q46887
Q3201692;Q3222317
Q3819481;Q3643104
Q7743776;Q16385811
Q2447776;Q2453300
Q3436601;Q3221381
Q10683888;Q10683887
Q5046972;Q16385620
Q1047167;Q1538538
Q74362;Q666405
Q971280;Q3063449
Q21295065;Q21295068
Q2659725;Q3549611
Q21009156;Q21295074
Q3714029;Q370861
Q957076;Q2017697
Q11681388;Q1977800
Q2781473;Q2695768
Q3226971;Q3206855
Q11882533;Q11899390
Q670552;Q247364
Q10660020;Q10683875
Q3096921;Q3018388
Q7762655;Q7767779
Q1649484;Q4355760
Q20723173;Q21295085
Q47598;Q46751
Q21295087;Q21295089
Q1212855;Q2095705
Q1331757;Q1352419
Q4820509;Q16878130
Q1066371;Q1189272
Q1977378;Q2489916
Q2111289;Q2595897
Q1869022;Q3213736
Q53317974;Q53318363
Q43373852;Q43373873
Q3998015;Q3874251
Q10428765;Q10428762
Q7376064;Q6494641
Q16257203;Q17031290
Q21295053;Q21295055
Q3213736;Q2364765
Q1121567;Q966572
Q16931447;Q21203275
Q331656;Q331669
Q1884741;Q939223
Q10428746;Q10428753
Q1409006;Q1634799
Q3800868;Q17040582
Q2465064;Q2774897
Q1890852;Q2238828
Q16245792;Q16385235
Q7797841;Q16205061
Q3213554;Q385336
Q3162732;Q2400100
Q2915295;Q2915291
Q4685227;Q183385
Q1751870;Q300370
Q16387170;Q16386122
Q5532599;Q7561593
Q7764126;Q4919375
Q2658336;Q2780600
Q2902756;Q3204093
Q16385657;Q21574038
Q644271;Q959582
Q3744769;Q3772200
Q3632643;Q3826734
Q30904031;Q44297779
Q47209;Q47598
Q3220799;Q2380686
Q2525961;Q2477829
Q2216399;Q2323020
Q1898036;Q493574
Q3042041;Q3042047
Q786555;Q1003401
Q3225953;Q3055185
Q1422318;Q1256948
Q7380060;Q4657602
Q181231;Q4335467
